ID,PDB code,pKd pKi pIC50,Canonical SMILES
2231,3nuj,9.39,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)O)C
2232,3nuo,9.8,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)O)C
2233,3nw3,6.49,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O)O[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)CCC(=O)N)C)C)NC(=O)C
2234,3nx7,8.1,OCCN(S(=O)(=O)c1ccc(cc1)OC)CC(=O)NO
2235,3nxq,8.15,OC(=O)C[C@@H](C(=O)N[C@H](P(C[C@H](C(=O)N[C@H](C(=O)N)C)C)(O)O)Cc1ccccc1)NC(=O)C
2236,3nyd,3.48,O=N(=O)c1ccc2c(c1)[nH]nn2
2237,3nyx,7.49,Clc1ccc2c(c1)nccc2Sc1nnc(s1)NC(=O)c1cccs1
2238,3nzk,9.27,ONC(=O)[C@H]([C@H](O)C)NC(=O)c1ccc(cc1)C#Cc1ccc(cc1)C[NH+]1CCOCC1
2239,3o4k,7.62,CCCCCCC(=O)OC[C@@H](OC(=O)CCCCCCCCCCCCCC)CO[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O[C@@H]1O[C@H](C)[C@@H]([C@@H]([C@H]1NC(=O)C)O)[NH3+])O
2240,3o56,9.1,CCn1ncc2c1ncc(c2NC1CCOCC1)c1onc(n1)CC(=O)N1CCCC1
2241,3o5n,4.76,OC(=O)[C@@H]1Nc2c(ccc(c2[C@H]2[C@@H]1CCC2)N(=O)=O)C(=O)O
2242,3o5x,5.28,O=C(Nc1ccc(cc1)c1ccccc1)CCn1nnc(c1)c1c(c2ccccc2)n(c2c1cc(C(=O)O)c(c2)O)C
2243,3o75,6.68,OC[C@H]1O[C@]([C@H]([C@@H]1O)O)(O)COP(O)(O)O
2244,3o7u,7.28,O=C1NC=C[P@](=O)(N1)N
2245,3o84,7.24,OC(=O)c1cc(nc2c1cnn2Cc1ccncc1)c1ccccc1
2246,3o8p,6.46,O=C(Nc1cc(nn1C)C(C)(C)C)Nc1ccc(cc1)Cl
2247,3o99,10.82,CC[C@@H](CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C
2248,3o9a,10.7,CC[C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C
2249,3o9d,10.72,CC[C@@H](CN(S(=O)(=O)c1ccc2c(c1)scn2)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C
2250,3o9e,11.3,CCC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)CC
2251,3o9i,11.82,CCC(CN(S(=O)(=O)c1ccc2c(c1)scn2)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)CC
2252,3o9p,6.52,O=C(N[C@H](C(=O)O)CCC[C@H](C(=O)O)[NH3+])CC[C@H](C(=O)O)NC(=O)[C@@H]([NH3+])C
2253,3oaf,8.8,Clc1ccc(c(c1)NCc1cnc2c(c1)c(N)nc(n2)N)Cl
2254,3ocp,7.57,O[C@@H]1[C@@H]2OP(O)(O)OC[C@H]2O[C@H]1n1cnc2c1ncnc2N
2255,3ocz,7.46,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(S)(O)O
2256,3oe4,7.47,O[C@@H]1[C@@H](/C=C/CNC(=O)c2cc(cc(c2O)O)N(=O)=O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2
2257,3oe5,6.88,O[C@@H]1[C@@H](/C=C/CNC(=O)c2cc(cc(c2O)O)N(=O)=O)O[C@H]([C@@H]1O)Sc1ccncc1
2258,3ohi,4.85,O=c1n(ccc(c1O)CCOP(O)(O)O)CP(O)(O)O
2259,3oil,5.68,CCc1cc2[C@H]3CC[C@]4([C@H]([C@@H]3CCc2cc1OS(=O)(=O)N)CC[C@@H]4O)C
2260,3oim,6.74,CCc1cc2[C@H]3CC[C@]4([C@H]([C@@H]3CCc2cc1OS(=O)(=O)N)CC[C@@H]4O)C
2261,3ok9,11.23,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1[C@H]1CCO[C@H]1O2)O)CC(C)C
2262,3oku,6.36,CCc1cc2c(cc1OS(=O)(=O)N)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C
2263,3old,5.9,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](C)[C@H]([C@@H]([C@H]1O)O)[NH2+][C@H]1C=C(CO)[C@H]([C@@H]([C@H]1O)O)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O
2264,3ouj,6.05,OC(=O)CCC(=O)C(=O)O
2265,3ov1,5.2,CC(=O)N[C@H](C(=O)NC1(CC1)C(=O)N[C@H](C(=O)N)CC(=O)N)Cc1ccc(cc1)OP(O)(O)O
2266,3ove,6.57,CC(=O)N[C@H](C(=O)NC1(CCCCCC1)C(=O)N[C@H](C(=O)N)CC(=O)N)Cc1ccc(cc1)OP(O)(O)O
2267,3ovn,2.55,Cn1nc(cc1N)c1cccs1
2268,3owj,6.07,Oc1ccc2c(c1)c1c([nH]2)c(C)c2c(c1C)c(=O)[nH]cc2
2269,3own,7.47,CC(CNC(=O)[C@H](C(C)C)C[C@@H]([C@@H]1COCc2cccc(c2)[C@H](NC(=O)c2cc(C(=O)N1)cc(c2)N(S(=O)(=O)C)C)c1ccccc1)O)C
2270,3oy0,8,CCC[C@@H](C(C)(C)C)C(=O)Nc1ccc(cc1)S(=O)(=O)N
2271,3oy8,3.66,OC[C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O
2272,3oyq,7.99,CC[C@@H](CCC(=O)Nc1ccc(cc1)S(=O)(=O)N)C
2273,3oyw,4.11,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@H]1O)O)O
2274,3ozg,9.19,OC[C@@H]([NH2+]Cc1c[nH]c2c1nc[nH]c2=O)CCP(O)(O)O
2275,3ozj,5.11,CC(=O)O[C@H]1[C@H]2[C@@H](OC(=O)C2=C)C[C@H]([C@H]2[C@@]1(C)C(=O)C=C2)C
2276,3ozp,6.62,OC[C@H]1O/C(=N/OC(=O)Nc2ccccc2)/[C@@H]([C@H]([C@@H]1O)O)NC(=O)C
2277,3ozr,5.15,O[C@H]1CO[C@@H]([C@H]1O)/C=C/CNC(=O)c1cc(cc(c1O)O)N(=O)=O
2278,3ozs,5.33,O[C@@H]1[C@@H](/C=C/CNC(=O)c2cc(cc(c2O)O)N(=O)=O)O[C@H]([C@@H]1O)n1cnc(c1)C(F)(F)F
2279,3ozt,4.13,O[C@@H]1[C@@H](/C=C/CNC(=O)c2cc(cc(c2O)O)N(=O)=O)O[C@H]([C@@H]1O)n1ccc(=O)cc1
2280,3p17,4.48,O=C([C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+])NCc1cccnc1
2281,3p2e,6.22,OC(=O)[C@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+]
2282,3p3g,9.74,C[C@H]([C@@H](C(=O)N=O)NC(=O)c1ccc(cc1)C#CC#Cc1ccccc1)O
2283,3p3r,7.25,Fc1ccccc1C(=O)c1cc(O)c(c(c1)N(=O)=O)O
2284,3p3s,7.59,CN1/C(=C\c2cc(Br)c(c(c2)Br)O)/C(=O)NC1=[NH2+]
2285,3p3t,7.24,Fc1ccccc1OCCCc1c(C)n[nH]c1C
2286,3p4v,5.1,COC(=O)/C=C/C(=O)N[C@H](C(=O)O)Cc1ccc(c(c1)Cl)O
2287,3p58,7.6,CN(C(=S)S)Cc1ccccc1
2288,3p5l,7.39,N#CC1(CCN(CC1)C(=S)S)c1ccccc1
2289,3p5o,7.26,CCNC(=O)C[C@@H]1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)ccc(c2)OC
2290,3p7i,7.7,[NH3+]CCP(O)(O)O
2291,3p8n,9.28,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@H](CN1C(=O)[C@H](C(C)(C)C)NC(=O)OC1CCCC1)Oc1cc(nc2c1ccc(c2Br)OC)c1csc(n1)NC(=O)C(C)C)C(=O)O
2292,3p8o,8.72,COc1ccc2c(c1)nc(cc2O[C@@H]1C[C@H](N(C1)C(=O)[C@H](C(C)(C)C)NC(=O)OC1CCCC1)C(=O)N[C@@]1(C[C@H]1C=C)C(=O)O)c1csc(n1)NC(=O)C(C)C
2293,3p8p,4.55,CCCC/C(=[NH+]/CCC[C@@H](C(=O)O)[NH3+])/N
2294,3p8z,6.09,OC(=O)[C@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NCc1cccc(c1)Cl)[NH3+]
2295,3p9l,5.3,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)O)CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H](CO)[NH3+])CC(=O)N)Cc1ccccc1)CCC(=O)O
2296,3p9m,5,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)O)CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H](CO)[NH3+])CCC(=O)O
2297,3pb7,5.74,COc1cc(ccc1OC)NC(=S)NCCCn1cncc1
2298,3pb8,5.24,CC(=O)NCCc1c[nH]cn1
2299,3pb9,6.58,c1ccc(cc1)Cn1cncc1
2300,3pbb,7.02,COc1cc(ccc1OC)/N=C(\NCCCn1cncc1)/S
2301,3pce,2,OC(=O)Cc1cccc(c1)O
2302,3pcf,6.05,OC(=O)c1ccc(c(c1)F)O
2303,3pcg,2.3,OC(=O)Cc1ccc(cc1)O
2304,3pcj,7.22,OC(=O)c1ccn(c(=O)c1)O
2305,3pck,6.7,OC(=O)c1ccc(=O)n(c1)O
2306,3pcn,3.66,OC(=O)Cc1ccc(c(c1)O)O
2307,3pd8,6.46,OC(=O)[C@H]1[NH2+]CCc2c1o[nH]c2=O
2308,3pd9,6.22,OC(=O)[C@@H]1[NH2+]Cc2c(C1)c(=O)[nH]o2
2309,3pe1,9.65,Clc1cccc(c1)Nc1nc2cc(ccc2c2c1ccnc2)C(=O)O
2310,3pe2,9.76,C#Cc1cccc(c1)Nc1nc2cc(ccc2c2c1ncnc2)C(=O)O
2311,3pfp,6.44,OC(=O)[C@H](OP(O)(O)O)CCCCCOP(O)(O)O
2312,3pgl,5.3,COCCCOc1ccnc(c1C)C[S@](c1nc2c([nH]1)cccc2)O
2313,3pgu,6.7,C/C=C/CCCC/C=C/CC(=O)O
2314,3pju,4.88,O[C@@H]1[C@@H]2OP(O)(O)OC[C@H]3O[C@H]([C@@H]([C@@H]3OP(OC[C@H]2O[C@H]1n1cnc2c1nc(N)[nH]c2=O)(O)O)O)n1cnc2c1nc(N)[nH]c2=O
2315,3pn1,6.96,CCCCSc1nc(N)c2c(n1)n(cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO
2316,3pn4,6.85,CCCCC[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1CO)C(C)C)CC(=O)NO
2317,3po1,4.02,CCOC(=O)Cn1c(sc2c1ccc(c2)O)[NH+]=C(N)N
2318,3po6,7.06,COc1cc2c(cc1OC)CCN([C@H]2C)S(=O)(=O)N
2319,3ppm,9.54,O=C(c1nnc(o1)c1ccccn1)CCCCCCc1ccccc1
2320,3ppp,5.22,OC(=O)C[N+](C)(C)C
2321,3ppq,4.55,OCC[N+](C)(C)C
2322,3ppr,2.82,OC(=O)[C@@H]1CC[NH2+][C@H]([NH2+]1)C
2323,3prs,7.82,O=C(N[C@H]([C@H](C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1
2324,3ps1,10.17,C[C@H]([C@@H](C(=O)N=O)NC(=O)c1ccc(cc1)C#CC#Cc1ccc(cc1)N)O
2325,3pwd,6.66,O=c1cc(C)c2c(o1)cc1c(c2)ccc(c1N(=O)=O)O
2326,3pwk,3.35,OC(=O)[C@@H]1CC[C@H](CC1)C(=O)O
2327,3pwm,9.1,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C
2328,3pww,7.32,NC(=O)C[C@@H](C(=O)N[C@H]([C@@H](C[N@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2
2329,3pyy,6.86,O=C1NC(=O)[C@H](N1)c1cn(nc1c1ccc(cc1)F)c1ccccc1
2330,3q1x,5.33,OC[C@@H](C(=O)O)[NH3+]
2331,3q2j,4.18,[NH3+]CCNS(=O)(=O)c1ccc(c2c1cncc2)Cl
2332,3q44,6.31,[NH3+][C@@H]([C@@H](C(=O)N[C@H](C(=O)O)CC(C)C)O)Cc1ccc(cc1)OCc1ccccc1
2333,3q6w,7.57,O=C(NCc1ccccn1)CCc1ccc2c(c1)c(=O)c1cc(cnc1cc2)c1cnn(c1)C1CC[NH2+]CC1
2334,3q6z,3.72,O[C@@H]1[C@@H](COP(OP(OC[C@H]2O[C@@H]([C@@H]([C@@H]2O)O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
2335,3q71,5.22,O[C@@H]1[C@@H](COP(OP(OC[C@H]2O[C@@H]([C@@H]([C@@H]2O)O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
2336,3q7q,5.65,O[C@@H]1[C@@H](COP(OP(NP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1[nH]c(N)[nH+]c2=O
2337,3qaa,11.54,CO[C@H]1CO[C@H]2[C@@H]1[C@H](CO2)OC(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)CC(C)C)O)Cc1ccccc1
2338,3qbc,4.97,Sc1nc2c([nH]1)c(=O)[nH+]c([nH]2)N
2339,3qdd,8.77,COc1c(C)cnc(c1C)Cn1cnc2c1nc(N)nc2Cl
2340,3qfd,4.17,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C(C)C)[C@H](O)C)CC(C)C)NC(=O)CNC(=O)[C@H]([C@H](CC)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H]([NH3+])C)C)C
2341,3qfy,6.12,OC[C@H]1C[NH2+]C[C@H]([C@@H]1O)O
2342,3qfz,3.24,OC[C@H]1[NH2+]C[C@@H]([C@H]([C@@H]1O)O)O
2343,3qgw,5.89,O=C(c1ccccc1)/N=C/1\CC(=CNC1=O)c1ccncc1
2344,3qgy,7.8,CNc1nccc(n1)C1=C[C@H](C(=O)N=C1)NC(=O)c1ccc(cc1)N1CCCCC1
2345,3qkd,8.38,C[NH+](CC[C@@H](Nc1ccc(cc1N(=O)=O)S(=O)(=O)Nc1ncnc2c1ccc(c2)N1CC[N@H+](CC1)Cc1ccccc1c1ccc(cc1)Cl)CSc1ccccc1)C
2346,3qlm,6.37,CCCCCCCCCCCCCCCC(=O)O
2347,3qox,6.57,OC(=O)[C@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+]
2348,3qps,5.6,O[C@@H]1CC[C@]2([C@@H](C1)C[C@H]([C@@H]1[C@@H]2C[C@H](O)[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)O)C
2349,3qqa,5.82,O[C@H]1CC[C@]2([C@H](C1)C[C@H]([C@@H]1[C@@H]2C[C@H](O)[C@]2([C@H]1CC[C@@H]2[C@H](CCC(=O)NCCS(O)(O)O)C)C)O)C
2350,3qqs,5.82,OC(=O)c1ccccc1Nc1ccccc1C(=O)O
2351,3qt6,5.37,OC(=O)[C@@H]1CCCN1C(=O)COP(OP(O)(O)O)(O)O
2352,3qto,4.13,C[n+]1cccc(c1)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+]
2353,3qtv,4.65,O=C([C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+])NCc1cc[n+](cc1)C
2354,3qw5,6.45,O=C(N[C@H](C(=O)N)Cc1ccccc1)CNC(=O)[C@@H](NC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])CCC[NH+]=C(N)N
2355,3qwc,4.26,C[n+]1ccc(c(c1)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+])Cl
2356,3qx5,4.2,Clc1cc[n+](c(c1)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+])C
2357,3qx9,4.05,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
2358,3qxt,5.22,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C
2359,3qxv,8.4,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C
2360,3r16,7.3,O=C(Cc1cccs1)Nc1ccc(cc1)S(=O)(=O)N
2361,3r17,6.41,O=C(Nc1ccc(cc1F)S(=O)(=O)N)Cc1cccs1
2362,3r1v,6.92,Oc1ccc(cc1)/N=N/c1ccc(cc1)C(C)C
2363,3r24,5.25,C[S@](C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)CC[C@@H](C(=O)O)[NH3+]
2364,3r4m,5.92,COc1ccccc1c1cc(Cl)nc(n1)N
2365,3r4n,6.89,Cc1nc(N)nc(c1)c1c(OCCCC(F)(F)F)cccc1Cl
2366,3r4p,7.96,Clc1cc(Cl)c(c(c1)OCCn1cccn1)c1nc(N)nc2c1cn(c2)C(=O)NCC(F)(F)C
2367,3r5t,8.58,Oc1c(O)cccc1[C@H]1[NH2+][C@@H]([C@H](O1)C)C(=O)N(CCCNC(=O)c1cccc(c1O)O)CCCNC(=O)[C@H]1[NH2+][C@@H](O[C@@H]1C)c1cccc(c1O)O
2368,3r6u,4.52,OCC[N+](C)(C)C
2369,3r7o,8.36,O=c1c2cc(ccc2ccc2c1cc(cn2)c1cnn(c1)C1CC[NH2+]CC1)NS(=O)(=O)N(C[C@@H]1COCCO1)C
2370,3r88,4.82,COc1cc(C(=O)O)c(cc1OC)N
2371,3rbu,9.43,OC(=O)CC[C@@H](C(=O)O)CP(O)(O)O
2372,3rdo,9.85,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
2373,3rdq,9.31,OC(=O)CCCCC[C@H]1NC(=O)N[C@H]1C
2374,3re4,7.4,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cc(c2c1ncnc2N)C#N
2375,3rf4,6.25,OC(=O)c1cc(c(cc1NCc1ccco1)Cl)S(=O)(=O)N
2376,3rf5,5.63,OC(=O)c1ccccc1NCc1ccco1
2377,3rlb,9.92,OCCc1scn(c1C)Cc1cnc(nc1N)C
2378,3rlp,7.08,COc1cc(c2cc(C)nc(n2)N)c(cc1Cl)Cl
2379,3rlq,7.4,COc1cc(c(cc1Cl)Cl)c1nc(C)nc2c1c(C#N)c[nH]2
2380,3rlr,7.52,COc1cc(c(cc1Cl)Cl)c1nc(C)nc2c1c(C#N)c([nH]2)C
2381,3rm4,5.77,Brc1ccc(cc1)OCC[NH+]1CCN(CC1)c1n[nH]c(n1)N
2382,3rm9,4.77,NC(=[N+]1CCN(CC1)c1ccc(cc1)Cl)N
2383,3roc,8.19,OCCNC(=O)c1ccc(c(c1)n1cnc(c(c1=O)Cl)OCc1ccc(cc1F)F)C
2384,3rr4,4.55,CNc1nc2c([nH]1)cc1c(c2)c(=O)[nH]c(n1)NC
2385,3rsx,4.41,Nc1ccc2c(n1)ccc(c2)c1cscc1
2386,3rt8,6.35,OC(=O)[C@H](Cn1cc(Cl)c(=O)[nH]c1=O)[NH3+]
2387,3rtf,7.35,OC(=O)[C@H](Cn1cc(Cl)c(=O)[nH]c1=O)[NH3+]
2388,3ru1,4.85,O=C(CCc1cc2ccccc2nc1N)NCC1CCCCC1
2389,3rux,9.28,O=C(NS(=O)(=O)NC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
2390,3rv4,2.3,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
2391,3rv8,4.92,OC(=O)/C(=C/[C@@H]1C=C1)/O[C@H]1C=CC=C(C1=O)C(=O)O
2392,3rwp,9.22,Fc1ccc(cc1)[C@H]1COC[C@H]1Nc1cncc(n1)C(=O)c1cn(c2c1c(N)ncn2)C(C)C
2393,3ryj,7.8,O=C(c1ccc(cc1)S(=O)(=O)N)NCC(F)(F)F
2394,3ryv,7.07,CCNC(=O)c1ccc(cc1)S(=O)(=O)N
2395,3ryx,8.14,O=C(c1ccc(cc1)S(=O)(=O)N)NCC(C(F)(F)F)(F)F
2396,3ryy,7.42,CCCNC(=O)c1ccc(cc1)S(=O)(=O)N
2397,3ryz,8.62,O=C(c1ccc(cc1)S(=O)(=O)N)NCC(C(C(F)(F)F)(F)F)(F)F
2398,3rz0,7.55,CCCCNC(=O)c1ccc(cc1)S(=O)(=O)N
2399,3rz1,8.74,O=C(c1ccc(cc1)S(=O)(=O)N)NCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
2400,3rz5,7.89,CCCCCNC(=O)c1ccc(cc1)S(=O)(=O)N
2401,3rz7,8.96,O=C(c1ccc(cc1)S(=O)(=O)N)NCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
2402,3rz8,8.17,CCCCCCNC(=O)c1ccc(cc1)S(=O)(=O)N
2403,3s0b,6.49,c1ccc(cc1)Nc1cccc2c1cccc2
2404,3s0d,7.05,[NH3+]CC[C@H](CCCC(=C)C)C
2405,3s0e,6.55,C=CCc1ccc(c(c1)OC)O
2406,3s2v,6.8,[NH3+][C@H](C(=O)O)Cn1c2cscc2c(=O)n(c1=O)Cc1ccsc1C(=O)O
2407,3s43,8.6,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)O)C
2408,3s45,8.49,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)O)C
2409,3s54,9.64,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C
2410,3s5y,7.41,OC[C@H]1[NH2+]C[C@@H]([C@H]([C@H]1O)O)O
2411,3s6t,7.35,OC[C@H]1O/C(=N\OC(=O)Nc2ccccc2)/[C@@H]([C@H]([C@@H]1O)O)NC(=O)C
2412,3s71,8.64,NS(=O)(=O)c1cc2c(o1)cccc2
2413,3s72,6.4,NS(=O)(=O)c1nc2c([nH]1)cccc2
2414,3s73,8.7,NS(=O)(=O)c1nc2c(s1)cccc2
2415,3s75,6.82,NS(=O)(=O)c1ccco1
2416,3s76,5.05,NS(=O)(=O)c1ncc[nH]1
2417,3s77,7.21,NS(=O)(=O)c1nccs1
2418,3s78,6.47,NS(=O)(=O)c1cccs1
2419,3s8l,5.64,CC(=O)N[C@H](C(=O)NC1(CCC1)C(=O)N[C@H](C(=O)N)CC(=O)N)Cc1ccc(cc1)OP(O)(O)O
2420,3s8n,6.21,CC(=O)N[C@H](C(=O)NC1(CCCC1)C(=O)N[C@H](C(=O)N)CC(=O)N)Cc1ccc(cc1)OP(O)(O)O
2421,3s8o,6.85,CC(=O)N[C@H](C(=O)NC1(CCCCC1)C(=O)N[C@H](C(=O)N)CC(=O)N)Cc1ccc(cc1)OP(O)(O)O
2422,3s9e,5.13,OC(=O)CC[C@@H](C(=O)O)[NH3+]
2423,3sfg,6.06,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(=O)[nH]c1=S
2424,3sha,5.59,[NH3+][C@@H](C(=O)N1CCC[C@H]1C(=O)NCc1cnccc1Cl)Cc1ccccc1
2425,3shc,5.72,Clc1ccnc(c1)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+]
2426,3si3,4.16,O=C([C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+])NCc1ccccn1
2427,3si4,3.88,O=C([C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+])NCc1cccc[n+]1C
2428,3sio,8,CC[N@H+]1C[C@@]2(CC[C@@H]([C@]34[C@H]1[C@](O)([C@H]([C@H]23)OC)[C@@]1([C@@H]2[C@H]4C[C@@H]([C@@H]2OC)[C@H](C1)OC)O)OC)COC(=O)c1ccccc1N1C(=O)C[C@@H](C1=O)C
2429,3sjf,7.64,CSCC[C@@H](C(=O)O)NC(=O)N[C@H](C(=O)O)CCCCNC(=O)c1ccc(cc1)I
2430,3sk2,3.61,COc1ccc(c2c1nc1c(n2)cccc1C(=O)O)CO
2431,3slz,6.99,O[C@@H]([C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C)O)[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C
2432,3sm2,9.7,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)O)C
2433,3spf,3.86,OC[C@H](CCn1cc(c(c1C(=O)NCCC[N@@H+]1CC[N@H+](CC1)C)c1ccccc1)c1ccc(cc1)Cl)O
2434,3sr4,6.54,CNc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CSCC[C@@H](C(=O)O)[NH3+]
2435,3st5,11.3,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@@H]1C[C@H]2[C@@H](C1)OC[C@@H]2O)O)CC(C)C
2436,3std,11.11,N#Cc1nnc2c(c1NCCC(c1ccccc1)c1ccccc1)cccc2
2437,3str,8.4,ONC(=O)CNC(=O)[C@@H]1CSCN1c1nc(nc(n1)N1CCN(CC1)c1ccccc1Cl)Nc1c(C)cccc1C(=O)NC
